data,OT
2018/1/1 0:00,244033.7682
2018/1/1 0:15,232720.6402
2018/1/1 0:30,231685.6891
2018/1/1 0:45,227581.3317
2018/1/1 1:00,233482.4269
2018/1/1 1:15,224464.7554
2018/1/1 1:30,223881.3222
2018/1/1 1:45,221522.7156
2018/1/1 2:00,228138.5805
2018/1/1 2:15,220047.4568
2018/1/1 2:30,220573.6666
2018/1/1 2:45,219896.75
2018/1/1 3:00,224121.3949
2018/1/1 3:15,229556.1453
2018/1/1 3:30,215950.7908
2018/1/1 3:45,213963.2834
2018/1/1 4:00,216487.5923
2018/1/1 4:15,211537.1307
2018/1/1 4:30,212033.174
2018/1/1 4:45,217465.0912
2018/1/1 5:00,218271.4217
2018/1/1 5:15,236180.4538
2018/1/1 5:30,213510.2072
2018/1/1 5:45,236967.7574
2018/1/1 6:00,220152.7494
2018/1/1 6:15,212271.5559
2018/1/1 6:30,209972.7333
2018/1/1 6:45,208697.8496
2018/1/1 7:00,213808.6241
2018/1/1 7:15,207072.372
2018/1/1 7:30,204480.9058
2018/1/1 7:45,207616.6495
2018/1/1 8:00,208614.265
2018/1/1 8:15,203793.5753
2018/1/1 8:30,205267.6863
2018/1/1 8:45,206870.7307
2018/1/1 9:00,216101.242
2018/1/1 9:15,209963.5599
2018/1/1 9:30,212765.8321
2018/1/1 9:45,215195.996
2018/1/1 10:00,227239.6381
2018/1/1 10:15,240495.9314
2018/1/1 10:30,219962.6322
2018/1/1 10:45,218330.6229
2018/1/1 11:00,230392.4951
2018/1/1 11:15,225234.5089
2018/1/1 11:30,225847.5166
2018/1/1 11:45,225491.5088
2018/1/1 12:00,231639.127
2018/1/1 12:15,233883.7328
2018/1/1 12:30,220691.8036
2018/1/1 12:45,218910.5081
2018/1/1 13:00,228360.1525
2018/1/1 13:15,216727.3519
2018/1/1 13:30,215198.5112
2018/1/1 13:45,214954.0029
2018/1/1 14:00,223432.7036
2018/1/1 14:15,212948.1638
2018/1/1 14:30,212299.8913
2018/1/1 14:45,210927.116
2018/1/1 15:00,219303.6127
2018/1/1 15:15,211065.1862
2018/1/1 15:30,208218.2147
2018/1/1 15:45,209392.1555
2018/1/1 16:00,219496.8008
2018/1/1 16:15,214732.0644
2018/1/1 16:30,218917.1671
2018/1/1 16:45,219759.1476
2018/1/1 17:00,230398.681
2018/1/1 17:15,226652.9938
2018/1/1 17:30,232022.5375
2018/1/1 17:45,234560.2623
2018/1/1 18:00,246983.9221
2018/1/1 18:15,240788.3888
2018/1/1 18:30,250922.229
2018/1/1 18:45,239955.6556
2018/1/1 19:00,245685.2832
2018/1/1 19:15,237613.0838
2018/1/1 19:30,235609.7078
2018/1/1 19:45,257733.9648
2018/1/1 20:00,243098.5973
2018/1/1 20:15,234799.065
2018/1/1 20:30,234718.8229
